Title,Year,Album debut,Duration,Other releases,Single A side,Single B side,Single certification,Genre,Styles,Themes,Moods,Songwriter,Lead vocal,Cover,Covered by,Chart position UK Wikipedia,Chart position US Wikipedia,Highest position The Guardian,Weeks on chart in UK The Guardian,Weeks at No1 in UK The Guardian,Highest position Billboard,Weeks at No1 Billboard,Top 50 Billboard,Top 50 Ultimate classic rock,Top 50 Rolling Stone,Top 50 NME,Top 50 Top50songs.org,Top 50 USA today 2017,Top 50 Vulture by Bill Wyman
Please Please Me,1962,UK: Please Please Me US: The Early Beatles,120,35,Please Please Me; Please Please Me,Ask Me Why; From Me to You,RIAA Platinum,"Merseybeat, Rock and Roll, Pop/Rock","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll",,Bright Rousing Warm Yearning Earnest Rollicking Searching Cheerful Sweet,Lennon,"Lennon, with McCartney",,10,2,3,2,18,,3,,18,19,20,,,28,5
Polythene Pam,1969,Abbey Road,72,8,,,,Pop/Rock,"Album Rock, Contemporary Pop/Roc,k, Early Pop/Rock, Hard Rock, Rock & Roll, Prog-Rock",,Brash Energetic Freewheeling Humorous Indulgent Irreverent Playful Quirky Rollicking Rousing Swaggering Whimsical Dramatic Exciting Brittle Fun Sardonic Urgent Druggy,Lennon,Lennon,,3,,,,,,,,,,,,,,
Rain,1966,UK: Rarities US: Hey Jude,179,15,Paperback Writer,Rain,RIAA Gold,"Psychedelic Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","Rainy Day, Stay in Bed, The Creative Side",Dreamy Hypnotic Rousing Trippy Whimsical Circular Freewheeling Sardonic Spooky Stylish Sprawling Ethereal Quirky Swaggering Urgent,Lennon,Lennon,,12,1,23,,,,23,,42,24,,40,,,10
Real Love,1980/1995,Anthology 2,236,2,Real Love,Baby's in Black,RIAA Gold,"Rock, Pop/Rock",,In Love,Romantic,"Lennon, with McCartney, Harrison, Starkey",Lennon,,,4,11,4,7,,11,,47,,,,,,
Revolution 1,1968,The Beatles,201,7,,,,"Hard rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Hard Rock","Revolutionary, Lifecycle, Politics/Society, Protest, Starting Out",Acerbic Energetic Exciting Fiery Passionate Rousing Brash Urgent Bravado Cynical/Sarcastic Raucous Rollicking,Lennon,Lennon,,2,,,,,,,,,,,,,35,
Revolution 9,1968,The Beatles,502,7,,,,"Avant-Garde, Musique Concrete, Experimental, Sound Collage, Pop/Rock","Alternative/Indie Rock, Experimental Rock, Sound Collage, British Psychedelia, Psychedelic/Garage",,Cold Detached Difficult Enigmatic Indulgent Messy Self-Conscious Spooky Sprawling Cerebral Meandering Tense/Anxious Uncompromising Lazy Provocative Searching Unsettling Clinical Complex,"Lennon, with Ono and Harrison",N/A,,4,,,,,,,,,,,,,,
Revolution,1968,UK: 1967-1970 US: Hey Jude,201,23,Hey Jude,Revolution,RIAA 4xPlatinum,"Hard rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Hard Rock","Revolutionary, Lifecycle, Politics/Society, Protest, Starting Out",Acerbic Energetic Exciting Fiery Passionate Rousing Brash Urgent Bravado Cynical/Sarcastic Raucous Rollicking,Lennon,Lennon,,18,1,12,,,,12,,32,34,13,21,,5,
"Rip It Up/Shake, Rattle, and Roll/Blue Suede Shoes",1969,Anthology 3,,,,,,"Rock and Roll, Pop/Rock","Rock & Roll, Contemporary Pop/Rock","Guys Night Out, Hanging Out, Partying, TGIF",Freewheeling Fun Irreverent Lively Messy Playful Ramshackle Raucous Rollicking Rousing Swaggering,"Blackwell-Marascalco (""Rip It Up""), Calhoun (""Shake, Rattle, and Roll""), Perkins (""Blue Suede Shoes"")",Lennon and McCartney,Y,,,,,,,,,,,,,,,
Rock and Roll Music,1964,UK: Beatles for Sale US: Beatles '65,150,25,Rock and Roll Music; No Reply,I'm a Loser; Rock and Roll Music,,"Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Rock & Roll","Hanging Out, Partying",Energetic Raucous Rollicking Rousing Rowdy Exciting Fiery,Berry,Lennon,Y,,,,,,,,,,,,,,,
Rocky Raccoon,1968,The Beatles,213,9,,,,"Country, Folk Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage, Singer/Songwriter",,Amiable/Good-Natured Freewheeling Fun Humorous Irreverent Light Lively Playful Quirky Ramshackle Rollicking Rousing Whimsical Indulgent Cheerful Happy Meandering Silly Summery Bright Giddy Precious,"McCartney, with Lennon",McCartney,,7,,,,,,,,,,,,,,
Roll Over Beethoven,1963,UK: With the Beatles US: The Beatles Second Album,168,31,Roll Over Beethoven; Roll Over Beethoven,Please Mr. Postman; Misery,,"Rock and Roll, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Celebration, Hanging Out, Partying",Amiable/Good-Natured Innocent Swaggering Bright Freewheeling Summery Whimsical Celebratory Fun Light Lively Bravado Confident Passionate Sparkling Energetic Rollicking,Berry,Harrison,Y,,,68,,,,,,,,,,,,
Run for Your Life,1965,Rubber Soul,138,9,,,,"Rock, Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage, Rock & Roll",Jealousy,Acerbic Angry Bitter Malevolent Menacing Ominous Organic Swaggering Fierce Rousing Energetic Reckless Nihilistic Provocative Hungry,"Lennon, with McCartney",Lennon,,5,,,,,,,,,,,,,,
Savoy Truffle,1968,The Beatles,174,7,,,,"Soul, Blues Rock, Hard Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Album Rock, British Psychedelia, Psychedelic/Garage",,Freewheeling Irreverent Playful Quirky Rollicking Rousing Stylish Cheerful Lively Swaggering Effervescent Tense/Anxious Brash,Harrison,Harrison,,3,,,,,,,,,,,,,,
Searchin',1962,Anthology 1,156,,,,,"Rock and Roll, Pop/Rock",,,Yearning,"Leiber, Stoller",McCartney,Y,,,,,,,,,,,,,,,
September in the Rain,1962,,,,,,,Pop/Rock,,,,"Al Dubin, Harry Warren",McCartney,Y,,,,,,,,,,,,,,,
Sexy Sadie,1968,The Beatles,195,11,,,,Pop/Rock,"Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Album Rock, British Psychedelia, Psychedelic/Garage",Late Night,Acerbic Atmospheric Dreamy Enigmatic Lush Sardonic Angry Bitter Literate Quirky Sexy Stylish Trippy Eccentric Meandering Nocturnal Weary Swaggering Freewheeling,Lennon,Lennon,,3,,,,,,,,,,,,,,
Sgt. Pepper's Lonely Hearts Club Band (Reprise),1967,Sgt. Pepper's Lonely Hearts Club Band,80,6,,,,"Psychedelic Rock, Hard Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll, Hard Rock",,Playful Rousing Theatrical Whimsical Ambitious Brassy Elaborate Energetic Lively Raucous Rollicking Bravado Quirky Witty,McCartney,"McCartney, with Lennon and Harrison",,5,,,,,,,,,,,,,,48
Sgt. Pepper's Lonely Hearts Club Band,1967,Sgt. Pepper's Lonely Hearts Club Band,119,14,Sgt. Pepper's Lonely Hearts Club Band / With a Little Help from My Friends,A Day in the Life,,"Psychedelic Rock, Hard Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll, Hard Rock",,Playful Rousing Theatrical Whimsical Ambitious Brassy Elaborate Energetic Lively Raucous Bravado Quirky Witty,McCartney,"McCartney, with Lennon",,15,63,71,63,3,,,,,,,,32,,
Shakin' in the Sixties,1969,,,,,,,Pop/Rock,,,,Lennon,Lennon,,,,,,,,,,,,,,,,
She Came in Through the Bathroom Window,1969,Abbey Road,117,6,,,,"Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Rock & Roll, Prog-Rock",,Energetic Freewheeling Humorous Indulgent Irreverent Playful Quirky Rollicking Rousing Whimsical Exciting Brassy Dramatic Exuberant Fun Swaggering Brittle,McCartney,McCartney,,2,,,,,,,,,,,,,,
She Loves You,1963,UK: A Collection of Beatles Oldies US: The Beatles Second Album,138,45,She Loves You,I'll Get You,,"Rock and Roll, Pop/Rock","Alternative/Indie Rock, Britpop, Contemporary Pop/Rock","In Love, Joy, Teenagers, Yearning",Agreeable Cheerful Euphoric Optimistic Positive Strong Swinging,Lennon and McCartney,Lennon and McCartney,,19,1,1,1,33,6,1,2,3,14,14,34,24,,4
She Said She Said,1966,Revolver,157,7,,,,"Psychedelic Rock, Acid Rock[, Pop/Rock","British Invasion, British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll",,Acerbic Druggy Eccentric Freewheeling Trippy Nocturnal Ominous Quirky Eerie Menacing Playful Raucous Rousing Spacey Sardonic Tense/Anxious,Lennon,Lennon,,5,,,,,,,,,,37,,,44,11
She's a Woman,1964,UK: Rarities US: Beatles '65,183,28,I Feel Fine,She's a Woman,RIAA Gold,"Rock and Roll, R&B, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",Cool & Cocky,Bright Exciting Rollicking Rousing Bravado Swaggering Brash Gutsy,McCartney,McCartney,,6,,4,,,,4,,31,,,,,,
She's Leaving Home,1967,Sgt. Pepper's Lonely Hearts Club Band,215,7,,,,"Baroque Pop, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, British Psychedelia, Psychedelic/Garage","Loss/Grief, Reflection, Regret, Heartache",Bittersweet Elegant Literate Melancholy Poignant Searching Sophisticated Theatrical Wistful Elaborate Refined Sad Somber Atmospheric Dramatic Dreamy Reflective Reserved Plaintive Precious Wintry Whimsical,"McCartney, with Lennon","McCartney, with Lennon",,26,,,,,,,,,,,47,,,
Shout,1964,Anthology 1,135,,,,,"Rock and Roll, Gospel, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",Celebration,Happy Rousing Uplifting,"Isley, Isley, Isley","Lennon, McCartney, Harrison and Starkey",Y,,,,,,,,,,,,,,,
Sie Liebt Dich,1964,UK: Rarities US: Rarities,139,9,Komm Gib Mir Deine Hand; Sie Liebt Dich,Sie Liebt Dich; I'll Get You,,"Rock and Roll, Pop/Rock","Alternative/Indie Rock, Britpop, Contemporary Pop/Rock","In Love, Joy, Teenagers, Yearning",Agreeable Cheerful Euphoric Optimistic Positive Strong Swinging,Lennon and McCartney/Nicolas/Montague,Lennon-McCartney,,,,97,,,,,,,,,,,,
Slow Down,1964,UK: Rock 'n' Roll Music US: Something New,175,21,Matchbox,Slow Down,,"Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",,Bright Energetic Exciting Rollicking Rousing Passionate Raucous Freewheeling Rowdy,Williams,Lennon,Y,,,25,,,,25,,44,,,,,,
So How Come (No One Loves Me),1963,Live at the BBC,114,,,,,Pop/Rock,"British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Feeling Blue, Heartache, Introspection",Detached Earthy Innocent Intimate Melancholy Plaintive Theatrical Wistful Dramatic Passionate Summery Yearning Earnest Refined Sparkling Reflective,"Bryant, Bryant",Harrison,Y,,,,,,,,,,,,,,,
Soldier of Love (Lay Down Your Arms),1963,Live at the BBC,119,,,,,"R&B, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Affection/Fondness, Hanging Out, New Love",Bittersweet Romantic Bravado Innocent Intimate Sensual Swaggering Theatrical Dramatic Passionate Summery Whimsical Yearning Confident Earnest Refined Sparkling Freewheeling Reflective Witty,"Cason, Moon",Lennon,Y,,,,,,,,,,,,,,,
Some Other Guy,1963,Live at the BBC,121,,,,,"Rock and Roll, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Breakup, Guys Night Out, Jealousy, Late Night",Gritty Passionate Gutsy Raucous Rollicking Rousing Yearning Bravado Lively Street-Smart Whimsical Dramatic Summery Aggressive Energetic,"Leiber, Stoller, Barrett",Lennon and McCartney,Y,,,,,,,,,,,,,,,
Something,1969,Abbey Road,179,16,Something,Come Together,RIAA 2xPlatinum,"Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock","Anniversary, In Love, New Love, Romantic Evening",Poignant Romantic Sentimental Smooth Soothing Intimate Sensual Dreamy Laid-Back/Mellow Passionate Sophisticated Wistful Precious,Harrison,Harrison,,43,4,1,4,12,,3,,30,7,6,13,10,3,13
Sour Milk Sea,1968,,236,,,,,"Hard Rock, Psychedelic Rock, Pop/Rock",,,,Harrison,Harrison,,,,,,,,,,,,,,,,
Step Inside Love/Los Paranoias,1968,Anthology 3,150,,,,,"Folk Rock, Pop/Rock","Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Affection/Fondness, Comfort, In Love, New Love, Relaxation",Cheerful Light Playful Ramshackle Relaxed Soft/Quiet Sweet Warm Whimsical,"McCartney (Step Inside Love); Lennon, McCartney, Harrison and Starkey (Los Paranoias)",McCartney,,,,,,,,,,,,,,,,
Strawberry Fields Forever,1966,Magical Mystery Tour,245,20,Penny Lane,Strawberry Fields Forever,RIAA Gold,"Psychedelic Rock, Art Pop, Psychedelic Pop, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock, Psychedelic/Garage",Summer,Complex Dramatic Dreamy Druggy Eerie Elaborate Freewheeling Hypnotic Quirky Searching Sophisticated Spacey Spooky Sprawling Trippy Whimsical Wistful Bittersweet Circular Ethereal Lush Ominous Autumnal Fractured Nocturnal Indulgent Unsettling,Lennon,Lennon,,30,2,8,32,3,,8,,33,2,3,1,20,22,2
Sun King,1969,Abbey Road,146,6,,,,"Art Pop, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, British Psychedelia, Prog-Rock, Psychedelic/Garage",,Atmospheric Dreamy Hypnotic Laid-Back/Mellow Lush Sensual Soothing Sophisticated Summery Warm Whimsical Calm/Peaceful Elegant Ethereal Gentle Intimate Spacey Romantic Stylish,Lennon,Lennon,,2,,,,,,,,,,,,,,
Sure to Fall (In Love with You),1963,Live at the BBC,141,,,,,Pop/Rock,"British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Affection/Fondness, In Love, New Love",Amiable/Good-Natured Innocent Romantic Bright Naive Sweet Refined Summery Yearning Carefree Warm Energetic Light Relaxed Sparkling Whimsical Confident Freewheeling,"Perkins, Claunch, Cantrell",McCartney,Y,,,,,,,,,,,,,,,
Sweet Little Sixteen,1963,Live at the BBC,141,,,,,"Rock and Roll, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Celebration, Hanging Out, Partying",Amiable/Good-Natured Innocent Swaggering Bright Freewheeling Summery Whimsical Celebratory Fun Light Lively Bravado Confident Passionate Sparkling Energetic Rollicking,Berry,Lennon,Y,,,,,,,,,,,,,,,
Take Good Care of My Baby,1962,,,,,,,"Rock and Roll, Pop/Rock",,,,"Goffin, King",Harrison,Y,,,,,,,,,,,,,,,
Taking a Trip to Carolina,1969,Let It Be... Naked - Fly on the Wall bonus disc,,,,,,Pop/Rock,,,,Starkey,Starkey,,,,,,,,,,,,,,,,
Taxman,1966,Revolver,159,10,,,,"Rock, Hard Rock, Psychedelic Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",,Acerbic Cynical/Sarcastic Energetic Rousing Sardonic Witty Lively Outraged Wry Quirky Raucous Playful Trippy,"Harrison, with uncredited contribution from Lennon",Harrison,,14,,,,,,,,,35,,36,,25,
Teddy Boy,1969,Anthology 3,145,,,,,"Folk Rock, Pop/Rock","Contemporary Pop/Rock, Singer/Songwriter","Comfort, Hanging Out, Relaxation, Sunday Afternoon",Carefree Cheerful Laid-Back/Mellow Lazy Light Playful Ramshackle Relaxed Sweet Warm,McCartney,McCartney,,,,,,,,,,,,,,,,
Tell Me What You See,1965,UK: Help! US: Beatles VI,156,10,,,,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage",In Love,Earnest Bright Plaintive Sweet Wistful Searching Yearning Melancholy,"McCartney, with Lennon","McCartney, with Lennon",,1,,,,,,,,,,,,,,
Tell Me Why,1964,UK: A Hard Day's Night US: Something New,130,15,If I Fell,Tell Me Why,,"Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop","Heartache, In Love, Lying, Pain, Relationships",Bright Fun Rollicking Sweet Warm Playful Agreeable Carefree Cheerful Optimistic Positive Pure Strong Swinging,Lennon,Lennon,,3,,,,,,,,,,,,,,
Thank You Girl,1963,UK: Rarities US: The Beatles Second Album,121,21,From Me to You; Do You Want to Know a Secret?,Thank You Girl; Thank You Girl,,"Merseybeat, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",In Love,Bright Cheerful Effervescent Fun Earnest Happy Sweet Warm Playful Carefree Exuberant Rollicking,Lennon and McCartney,Lennon and McCartney,,1,,35,,,,35,,46,,,,,,
That Means a Lot,1965,Anthology 2,146,,,,,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat","In Love, Awareness, Celebrities, Lying, Passion, Wisdom",Amiable/Good-Natured Cheerful Earnest Light Lively Playful Relaxed Rousing Warm,McCartney,McCartney,,,,,,,,,,,,,,,,
That'll Be the Day,1958,Anthology 1,136,,,,,"Rock and Roll, Rockabilly, Pop/Rock",,,,"Allison, Holly, Petty",Lennon,Y,,,,,,,,,,,,,,,
That's All Right (Mama),1963,Live at the BBC,176,,,,,"Rockabilly, Pop/Rock",,,,Crudup,McCartney,Y,,,,,,,,,,,,,,,
The Ballad of John and Yoko,1969,UK: 1967-1970 US: Hey Jude,179,14,The Ballad of John and Yoko,Old Brown Shoe,RIAA Gold,"Rock and Roll, Pop/Rock",,,Freewheeling Humorous Irreverent Playful Rollicking Rousing Sardonic Swaggering Witty Wry Bravado Quirky Fun Organic Summery Warm,Lennon,"Lennon, with McCartney",,4,1,8,1,14,3,8,,28,49,48,,,,
The Continuing Story of Bungalow Bill,1968,The Beatles,198,8,,,,"Folk Rock, Pop/Rock",,,,Lennon,"Lennon, with Starkey",,3,,,,,,,,,,,,,,
The End,1969,Abbey Road,140,6,,,,"Hard Rock, Art Rock, Heavy Metal, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Prog-RockHard Rock",,Freewheeling Sentimental Sprawling Indulgent Bittersweet Brash Rollicking Rousing Sweet Theatrical,McCartney,McCartney,,3,,,,,,,,,,,,,20,
The Fool on the Hill,1967,Magical Mystery Tour,180,15,,,,"Baroque Pop, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage",Introspection,Melancholy Poignant Precious Quirky Reflective Searching Sophisticated Theatrical Trippy Whimsical Elaborate Gentle Literate Wistful Yearning Ethereal Lazy Spacey Springlike,McCartney,McCartney,,25,,,,,,,,,,,,,,
The Honeymoon Song,1963,Live at the BBC,,,,,,Pop/Rock,,,,"Theodorakis, Sansom",McCartney,Y,,,,,,,,,,,,,,,
The Inner Light,1968,UK: Rarities US: Rarities,156,10,Lady Madonna,The Inner Light,RIAA Platinum,"Indian Music, Raga Rock, Pop/Rock","British Psychedelia, Psychedelic/Garage, Contemporary Pop/Rock","Introspection, Reflection, Solitude",Atmospheric Dramatic Dreamy Enigmatic Searching Spiritual Sprawling Trippy Yearning Ethereal Reflective Spooky Autumnal Complex Meandering Epic Hypnotic,Harrison,Harrison,,,,96,,,,,,,,,,,,
The Long and Winding Road,1969,Let It Be,220,18,The Long and Winding Road,For You Blue,RIAA Platinum,Pop/Rock,"Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter","Prom, In Love, Nature, Reflection, Regret, Reminiscing, Tragedy, Yearning",Dramatic Laid-Back/Mellow Lush Poignant Refined Reflective Reserved Romantic Sentimental Soothing Stately Calm/Peaceful Warm Yearning,McCartney,McCartney,,29,,1,,,,1,2,20,37,,,41,,45
The Night Before,1965,Help!,153,13,,,,Electronic Pop/Rock,"Adult Contemporary, Club/Dance","Goodbyes, In Love, Lying, Reminiscing, Yearning",Agreeable Lively Optimistic Positive Pulsing Sentimental Strong Swinging,McCartney,McCartney,,2,,,,,,,,,,49,,,,
The Saints,1962,,,,My Bonnie,The Saints,,Pop/Rock,,,,"Traditional, arr. Sheridan",Sheridan,,,,,,,,,,,,,,,,
The Sheik of Araby,1962,Anthology 1,,,,,,"Jazz, Pop/Rock",,In Love,Rousing,"Smith, Wheeler-Snyder",Harrison,Y,,,,,,,,,,,,,,,
The Word,1965,Rubber Soul,161,6,,,,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",In Love,Bright Lively Playful Rousing Cheerful Energetic Fun Carefree Rollicking Sweet Brash Trippy,Lennon and McCartney,"Lennon, McCartney and Harrison",,3,,,,,,,,,,,,,,
There's a Place,1963,UK: Please Please Me US: Rarities,109,24,,,,"Merseybeat, Rock and Roll, Pop/Rock","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll",,Bright Amiable/Good-Natured Cheerful Earnest Sweet Warm Reflective Searching,Lennon and McCartney,Lennon and McCartney,,2,,,,,,,,,,,,,,
Things We Said Today,1964,UK: A Hard Day's Night US: Something New,158,22,A Hard Day's Night,Things We Said Today,,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop","Reminiscing, Awareness, In Love, Motivation, Relationships, Romance",Rousing Searching Yearning Autumnal Intimate Nostalgic Wistful Dreamy Explosive Lively Optimistic Positive Romantic Sentimental,McCartney,McCartney,,10,,,,,,,,,,47,,,,
Think for Yourself,1965,Rubber Soul,138,7,,,,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",Breakup,Acerbic Bitter Freewheeling Rousing Sardonic Trippy Nocturnal Ominous Reflective Snide Bright Dramatic Tense/Anxious Exciting,Harrison,Harrison,,3,,,,,,,,,,,,,,
This Boy,1963,UK: Rarities US: Meet The Beatles!,133,23,I Want to Hold Your Hand; All My Loving,This Boy; This Boy,,"Doo Wop, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","Feeling Blue, Heartache, Jealousy, Rainy Day, Regret, Reminiscing, Solitude",,Lennon,"Lennon, with McCartney and Harrison",,10,,,,,,,,,38,,,,,
Three Cool Cats,1962,Anthology 1,128,,,,,"R&B, Pop/Rock",,,Rousing,"Leiber, Stoller",Harrison,Y,,,,,,,,,,,,,,,
Ticket to Ride,1965,Help!,190,31,Ticket to Ride,Yes It Is,,"Power Pop, Jangle Pop, Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage","Breakup, Feeling Blue, Heartache",Bittersweet Bright Melancholy Plaintive Yearning Autumnal Searching Sparkling,Lennon,"Lennon, with McCartney",,18,1,1,1,12,3,1,,17,10,17,16,21,19,18
Till There Was You,1963,UK: With the Beatles US: Meet The Beatles!,136,22,,,,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Cast Recordings, Show Tunes",In Love,Amiable/Good-Natured Earnest Innocent Romantic Sentimental Sweet Refined Warm Cheerful Precious,Willson,McCartney,Y,,,,,,,,,,,,,,,
Tip of My Tongue,1962,,,,,,,"Beat, Power Pop, Pop/Rock",,,,Lennon and/or McCartney,McCartney/Lennon,,,,,,,,,,,,,,,,
To Know Her is to Love Her,1963,Live at the BBC,138,,,,,Pop/Rock,"British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Affection/Fondness, New Love, Reflection",Bittersweet Innocent Romantic Sentimental Wistful Yearning Earnest Naive Passionate Warm Earthy Intimate Melancholy Sparkling Summery Sweet Gentle Laid-Back/Mellow Refined Soft/Quiet Reflective,Spector,Lennon,Y,,,,,,,,,,,,,,,
Tomorrow Never Knows,1966,Revolver,178,14,,,,"Psychedelic Rock, Hard Rock, Avant-Pop, Experimental Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll, British Invasion","Revolutionary, Scary Music, Freedom, The Creative Side",Druggy Eerie Energetic Fiery Freewheeling Intense Ominous Raucous Spooky Sprawling Trippy Uncompromising Cathartic Elaborate Hypnotic Lively Provocative Tense/Anxious Visceral Aggressive Atmospheric Indulgent Literate Unsettling Dreamy,Lennon,Lennon,,23,,,,,,,,,50,18,6,,7,12
Too Much Monkey Business,1963,Live at the BBC,176,,,,,"Rock and Roll, R&B, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Day Driving, Hanging Out, Small Gathering",Amiable/Good-Natured Bright Fun Bravado Energetic Freewheeling Rollicking Summery Swaggering Yearning Lively Whimsical Light Sparkling Confident Witty,Berry,Lennon,Y,,,,,,,,,,,,,,,
Twist and Shout,1963,UK: Please Please Me US: The Early Beatles,125,44,Twist and Shout; Back in the U.S.S.R.,There's a Place; Twist and Shout,RIAA Platinum,"Rock and Roll, R&B, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",,Bright Cheerful Energetic Exciting Exuberant Rousing Amiable/Good-Natured Boisterous Fun Gleeful Rollicking Earnest Happy Passionate Raucous Warm Rowdy,"Medley, Russell",Lennon,Y,,1,2,,,,2,,13,25,,23,44,,43
Two of Us,1969,Let It Be,213,11,,,,"Folk Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter, Album Rock","Affection/Fondness, Comfort, Long Walk, Biographical, Joy, Relationships, Reminiscing, Romance, Travel",,McCartney,"McCartney, with Lennon",,6,,,,,,,,,,,42,,,
Wait,1965,Rubber Soul,136,8,,,,"Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",,Autumnal Reflective Weary Rousing Bright,"McCartney, with Lennon","McCartney, with Lennon",,3,,,,,,,,,,,,,,
Watching Rainbows,1969,,248,,,,,"Rock, Pop/Rock",,,,"Lennon, with McCartney",Lennon,,,,,,,,,,,,,,,,
We Can Work It Out,1965,UK: A Collection of Beatles Oldies US: Yesterday and Today,135,19,We Can Work It Out,Day Tripper,RIAA Gold,"Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","Affection/Fondness, Joy, Lifecycle, Starting Out",Energetic Exciting Rollicking Rousing Searching Urgent Yearning Earnest Passionate Freewheeling Lively Organic Reflective,"McCartney, with Lennon","McCartney, with Lennon",,29,1,1,,,,1,3,9,36,30,25,48,40,
What Goes On,1965,UK: Rubber Soul US: Yesterday and Today,170,9,Nowhere Man,What Goes On,RIAA Gold,"Country rock, Country, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Country-Rock, Bakersfield Sound",,Amiable/Good-Natured Lively Playful Freewheeling Fun Humorous Rollicking Energetic,"Lennon and McCartney, with Starkey",Starkey,,2,,81,,,,,,,,,,,,
